Type,ID,Name,File,xPos,yPos,con0,con1,con2,con3,con4,con5,con6,con7,con8,con9,con10,con11,con12,con13,con14,con15,nav0,nav1,nav2,nav3,nav4,nav5,nav6,nav7,nav8,nav9,nav10,nav11,nav12,nav13,nav14,nav15,DudeTypes0,DudeTypes1,DudeTypes2,DudeTypes3,DudeTypes4,DudeTypes5,DudeTypes6,DudeTypes7,Probs0,Probs1,Probs2,Probs3,Probs4,Probs5,Probs6,Probs7,AvgShips,Govt,Message,Asteroids,Interference,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,PersonProb0,PersonProb1,PersonProb2,PersonProb3,PersonProb4,PersonProb5,PersonProb6,PersonProb7,BkgndColor,Murk,AstTypes,Visiblility,ReinfFleet,ReinfTime,ReinfIntrval,EOR
sÿst,138,Arcturus,Nova Data 2,50,-40,Rautherion (166),Tidbinbilla (165),Naka (164),Gefjon (163),Lesten (167),Nesre Primus (132),,,,,,,,,,,Fermia (166),Boral I (167),,,,,,,,,,,,,,,133,134,128,129,202,228,231,249,5,20,12,20,11,11,1,20,4,Federation (128),-1,4,0,167,182,128,227,179,183,-1,-1,5,3,5,5,5,2,0,0,#000000,0,0x0711,0,Small Federation Fleet (128),900,9,€
sÿst,139,Pollux,Nova Data 2,50,-80,Eeniar (169),Nesre Primus (132),Aral (168),Porto Rillia (170),,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,199,141,128,228,231,232,233,20,20,20,20,15,2,2,1,3,Independent,-1,1,0,180,181,222,224,225,156,157,227,10,10,5,5,5,5,5,20,#000000,0,0x0300,0,Small Federation Fleet (128),1080,11,€
sÿst,140,Capella,Nova Data 2,10,-90,Bloodstone (171),Nesre Primus (132),,,,,,,,,,,,,,,Capella I (168),,,,,,,,,,,,,,,,133,128,129,134,202,228,231,233,8,20,20,20,8,20,2,2,1,Federation (128),-1,1,0,155,156,184,157,-1,-1,-1,-1,5,3,5,2,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1080,11,€
sÿst,141,Aldebaran,Nova Data 2,-10,-70,Nesre Primus (132),Homeland (173),Barnard's Star (174),Petra (172),,,,,,,,,,,,,Simpson (148),Aldebaran VII (169),Haven (170),Merrol (171),HG-Aldebaran (130),,,,,,,,,,,,130,133,134,176,202,228,232,233,30,13,8,23,12,12,1,1,5,Federation (128),-1,5,0,158,167,128,227,182,183,-1,-1,10,10,5,5,5,5,0,0,#000000,0,0x1F33,!(b147 | b305) | !b148,Federation Carrier + Escorts (129),630,4,€
sÿst,142,Archenar,Nova Data 2,-10,-30,Sol (531),Sol (130),Hannaford (177),Lotus (176),Centauri (175),,,,,,,,,,,,Trusa (155),Sirrusa (156),,,,,,,,,,,,,,,128,199,132,130,228,231,232,233,25,17,32,12,11,1,1,1,2,Federation (128),-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),720,4,€
sÿst,143,Tau Ceti,Nova Data 2,-10,30,Sol (531),Sol (130),Merrynne (179),Enlightenment (180),Sanddown (178),,,,,,,,,,,,Tau Prime (151),Tau II (152),Tau III (153),,,,,,,,,,,,,,199,174,129,128,228,231,232,233,20,17,22,32,6,1,1,1,4,Federation (128),-1,3,0,128,227,297,-1,-1,-1,-1,-1,15,1,14,0,0,0,0,0,#000000,0,0x0711,0,Small Federation Fleet (128),900,9,€
sÿst,144,Spica,Nova Data 2,0,70,NGC-1170 (158),Alphara (131),Gateway (159),Jenner (160),Horizon (161),,,,,,,,,,,,Spica (172),,,,,,,,,,,,,,,Wormhole (466),149,134,139,128,228,231,232,233,10,20,15,40,10,2,2,1,1,Federation (128),-1,4,5,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000008,7,0x0711,0,Small Federation Fleet (128),900,9,€
sÿst,145,HJG-1034,Nova Data 2,-90,60,Nesre Secundus (536),Nesre Secundus (133),Moonrise (184),Tuatha (185),Nadir (186),,,,,,,,,,,,UHP-0474 (135),,,,,,,,,,,,,,,,151,128,129,132,228,231,232,233,20,20,15,25,15,2,2,1,2,Federation (128),-1,3,1,222,224,225,-1,-1,-1,-1,-1,5,5,5,0,0,0,0,0,#000000,3,0x0711,0,,0,0,€
sÿst,146,HJG-0637,Nova Data 2,-70,-10,Canopus (181),Avalon (183),Nesre Secundus (536),Nesre Secundus (133),Metter (182),,,,,,,,,,,,,,,,,,,,,,,,,,,,133,129,128,134,202,228,231,233,5,30,15,25,10,10,3,2,1,Federation (128),-1,4,3,179,180,222,224,225,156,157,228,5,5,5,5,5,3,2,15,#000000,5,0x0711,0,,0,0,€
sÿst,147,Procyon,Nova Data 2,-120,-20,Kerella (134),Journey's End (187),Rigel (188),Trishka (189),Sibko (190),,,,,,,,,,,,UHP-1001 (173),UHP-1002 (174),,,,,,,,,,,,,,,129,199,128,128,228,231,232,233,20,20,15,15,25,2,2,1,1,Federation (128),2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,!b36,Small Federation Fleet (128),900,8,€
sÿst,148,Sirius,Nova Data 2,-80,-70,Codehaven (194),Glimmer (193),Outpost 819 (191),NGC-1776 (192),Kerella (134),,,,,,,,,,,,Sirius Prime (145),Sirius II (146),,,,,,,,,,,,,,,128,128,129,199,228,231,232,233,20,17,17,17,26,1,1,1,1,Federation (128),-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),900,7,€
sÿst,149,Lalande 21185,Nova Data 2,-150,-80,Rimshot (197),Agate (196),Kerella (134),Narcissus (195),South Manchester (198),,,,,,,,,,,,Diva (147),,,,,,,,,,,,,,,,174,149,128,140,211,210,232,233,17,7,32,21,11,10,1,1,4,Federation (128),-1,3,0,128,227,305,-1,-1,-1,-1,-1,14,1,20,0,0,0,0,0,#000000,0,0x0711,0,Federation Carrier + Escorts (129),540,3,€
sÿst,150,Tenetria,Nova Data 2,140,-70,Altair (135),NGC-0946 (486),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,172,170,174,203,228,274,233,16,10,17,16,15,12,10,4,3,Federation (128),-1,2,0,222,224,225,-1,-1,-1,-1,-1,5,5,5,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),540,4,€
sÿst,151,Galvan,Nova Data 2,100,-45,Altair (135),,,,,,,,,,,,,,,,Syracuse (177),,,,,,,,,,,,,,,,128,133,134,141,202,228,232,233,25,15,21,21,10,10,1,1,2,Federation (128),-1,1,0,181,184,182,183,-1,-1,-1,-1,2,3,2,3,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1980,17,€
sÿst,152,Kon,Nova Data 2,120,-20,Fomalhaut (136),,,,,,,,,,,,,,,,Tidal (179),HG-Kon (178),,,,,,,,,,,,,,,174,134,130,142,228,231,232,233,25,17,27,12,16,1,1,1,3,Federation (128),-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,,0,0,€
sÿst,153,SPC-1927,Nova Data 2,90,-10,Fomalhaut (136),,,,,,,,,,,,,,,,UHP-0164 (132),LV-2063 (180),,,,,,,,,,,,,,,128,132,133,149,202,228,231,233,25,14,15,14,15,15,1,1,2,Independent,-1,5,10,155,158,156,157,-1,-1,-1,-1,5,5,3,2,0,0,0,0,#00000C,7,0x1F33,0,,0,0,€
sÿst,154,Murasaki,Nova Data 2,80,10,Fomalhaut (136),,,,,,,,,,,,,,,,Skye (181),HG-Murasaki (231),,,,,,,,,,,,,,,174,130,199,129,228,231,232,233,20,20,20,20,15,2,2,1,1,Federation (128),-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),720,5,€
sÿst,155,Obatta,Nova Data 2,80,80,Vega (137),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wormhole (468),130,172,132,149,231,232,233,260,25,20,15,15,2,2,1,20,3,Independent,-1,7,50,222,224,225,228,-1,-1,-1,-1,5,5,5,25,0,0,0,0,#191900,50,0x3F77,0,,0,0,€
sÿst,156,Fire,Nova Data 2,60,30,Vega (137),,,,,,,,,,,,,,,,Lodestone (182),,,,,,,,,,,,,,,,130,134,129,149,228,231,232,233,25,25,20,13,12,2,2,1,2,Federation (128),-1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,6,0x1F33,0,Small Federation Fleet (128),1800,16,€
sÿst,157,McMurdo,Nova Data 2,30,30,Vega (137),,,,,,,,,,,,,,,,Pan (183),,,,,,,,,,,,,,,,149,128,199,134,228,231,232,233,20,20,20,20,15,2,2,1,1,Federation (128),-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,4,0x0711,0,Small Federation Fleet (128),1260,14,€
sÿst,158,NGC-1170,Nova Data 2,0,50,Spica (144),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,139,134,149,228,231,232,233,25,20,20,15,15,2,2,1,1,Independent,-1,3,1,222,224,225,227,-1,-1,-1,-1,5,5,5,15,0,0,0,0,#000000,0,0x0711,0,Small Federation Fleet (128),1440,16,€
sÿst,159,Gateway,Nova Data 2,10,100,Neirt (351),Spica (144),,,,,,,,,,,,,,,Spacedock I (184),HG-Gateway (1410),,,,,,,,,,,,,,,130,191,134,149,211,210,231,233,40,30,10,6,6,6,1,1,4,Federation (128),1,5,5,128,227,-1,-1,-1,-1,-1,-1,5,5,0,0,0,0,0,0,#000008,7,0x1F33,0,Fed +S. Vell (189),450,1,€
sÿst,160,Jenner,Nova Data 2,-20,80,Spica (144),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,199,133,134,202,228,231,233,17,17,16,16,16,16,1,1,1,Independent,-1,2,0,167,179,222,224,225,182,183,-1,5,5,5,5,5,3,2,0,#000000,0,0x0300,0,Small Federation Fleet (128),2160,21,€
sÿst,161,Horizon,Nova Data 2,-40,70,Spica (144),,,,,,,,,,,,,,,,Greenwich (185),Chronos (186),Hourglass (187),,,,,,,,,,,,,,174,130,139,199,228,231,232,233,37,20,10,20,10,1,1,1,3,Federation (128),-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1260,14,€
sÿst,162,Wolf 359,Nova Data 2,40,-10,Sol (531),Sol (130),,,,,,,,,,,,,,,New England (138),,,,,,,,,,,,,,,,130,174,199,132,228,233,260,261,15,15,14,15,20,1,10,10,3,Federation (128),-1,4,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,5,0x0711,0,Vell-os Armada (145),360,0,€
sÿst,163,Gefjon,Nova Data 2,40,-20,Arcturus (138),,,,,,,,,,,,,,,,Thraine (188),Thror (189),,,,,,,,,,,,,,,172,130,202,228,231,233,-1,-1,30,40,10,10,5,5,0,0,3,Federation (128),-1,1,0,180,181,156,157,-1,-1,-1,-1,10,10,6,4,0,0,0,0,#000000,0,0x8733,0,,0,0,€
sÿst,164,Naka,Nova Data 2,70,-20,Arcturus (138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,132,133,134,202,228,231,233,17,17,16,16,16,16,1,1,1,Independent,-1,3,0,184,155,182,183,-1,-1,-1,-1,5,5,3,2,0,0,0,0,#000000,0,0x0711,0,,0,0,€
sÿst,165,Tidbinbilla,Nova Data 2,90,-40,NGC-1894 (487),Arcturus (138),,,,,,,,,,,,,,,LPAD (190),,,,,,,,,,,,,,,,128,134,133,141,202,211,210,228,8,7,10,35,10,17,8,5,3,128,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1980,23,€
sÿst,166,Rautherion,Nova Data 2,60,-60,Arcturus (138),,,,,,,,,,,,,,,,Rauther (191),Rautherian Prime (192),HG-Rautherion (495),,,,,,,,,,,,,,174,134,128,170,249,211,210,228,15,20,5,5,20,10,12,13,4,128,-1,3,0,642,128,227,-1,-1,-1,-1,-1,100,5,5,0,0,0,0,0,#000000,0,0x0711,0,Small Federation Fleet (128),990,12,€
sÿst,167,Lesten,Nova Data 2,30,-50,Arcturus (138),,,,,,,,,,,,,,,,Menin (149),,,,,,,,,,,,,,,,199,130,129,134,228,231,232,233,20,20,20,20,17,1,1,1,3,128,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,!b170,Small Federation Fleet (128),1560,18,€
sÿst,168,Aral,Nova Data 2,44,-60,Pollux (139),,,,,,,,,,,,,,,,Outcast (193),,,,,,,,,,,,,,,,130,199,128,141,228,231,232,233,30,17,10,20,20,1,1,1,3,128,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1650,18,€
sÿst,169,Eeniar,Nova Data 2,64,-70,SPC-1948 (484),Pollux (139),,,,,,,,,,,,,,,Helen (194),,,,,,,,,,,,,,,,128,133,170,199,202,228,231,233,28,10,20,10,10,20,1,1,3,128,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1350,15,€
sÿst,170,Porto Rillia,Nova Data 2,40,-90,Pollux (139),,,,,,,,,,,,,,,,Ryll (195),HG-Porto Rillia (496),,,,,,,,,,,,,,,130,134,174,129,228,231,232,233,15,25,20,17,20,1,1,1,5,128,3,1,20,128,227,282,-1,-1,-1,-1,-1,20,1,10,0,0,0,0,0,#000005,13,0x0300,0,Small Federation Fleet (128),990,13,€
sÿst,171,Bloodstone,Nova Data 2,30,-95,Capella (140),,,,,,,,,,,,,,,,Honor (196),HG-Bloodstone (471),,,,,,,,,,,,,,,172,134,170,130,203,228,274,233,13,14,15,20,12,20,5,1,3,128,-1,1,0,283,128,309,-1,-1,-1,-1,-1,10,10,20,0,0,0,0,0,#000000,5,0x0300,0,Rebels (149),810,10,€
sÿst,172,Petra,Nova Data 2,-20,-84,SPC-2421 (450),Aldebaran (532),Aldebaran (141),,,,,,,,,,,,,,UHP-23155 (197),,,,,,,,,,,,,,,,146,128,133,141,202,228,231,233,13,16,16,20,13,20,1,1,1,-1,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0711,0,,0,0,€
sÿst,173,Homeland,Nova Data 2,-36,-60,Aldebaran (532),Aldebaran (141),,,,,,,,,,,,,,,Hearth (198),,,,,,,,,,,,,,,,134,128,133,141,202,228,231,233,50,15,6,11,6,10,1,1,1,128,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0711,0,Small Federation Fleet (128),1440,16,€
sÿst,174,Barnard's Star,Nova Data 2,-16,-48,Aldebaran (532),Aldebaran (141),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,128,134,129,202,228,231,233,13,20,16,20,16,13,1,1,1,-1,-1,4,0,222,224,225,-1,-1,-1,-1,-1,5,5,5,0,0,0,0,0,#000000,0,0x0711,0,,0,0,€
sÿst,175,Centauri,Nova Data 2,-28,-43,Archenar (142),,,,,,,,,,,,,,,,Antaria (511),HG-Centauri (490),,,,,,,,,,,,,,,128,199,129,132,228,231,232,233,21,21,21,21,13,1,1,1,2,128,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,,0,0,€
sÿst,176,Lotus,Nova Data 2,-20,-20,Archenar (142),,,,,,,,,,,,,,,,Serenity (199),,,,,,,,,,,,,,,,174,129,130,134,228,231,232,233,30,30,12,13,12,1,1,1,4,128,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Federation Carrier + Escorts (129),900,10,€
sÿst,177,Hannaford,Nova Data 2,0,-14,Archenar (142),,,,,,,,,,,,,,,,Mairim (200),,,,,,,,,,,,,,,,134,128,132,199,228,231,232,233,20,20,20,20,17,1,1,1,1,128,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1350,15,€
sÿst,178,Sanddown,Nova Data 2,-20,16,Tau Ceti (143),,,,,,,,,,,,,,,,KinikŽ (201),Kolan (202),,,,,,,,,,,,,,,174,128,199,129,228,231,232,233,20,20,20,20,17,1,1,1,3,128,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1350,15,€
sÿst,179,Merrynne,Nova Data 2,12,36,Tau Ceti (143),,,,,,,,,,,,,,,,Hargen (143),,,,,,,,,,,,,,,,199,129,128,132,228,231,232,233,21,21,21,21,13,1,1,1,3,128,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1530,16,€
sÿst,180,Enlightenment,Nova Data 2,-40,40,Tau Ceti (143),,,,,,,,,,,,,,,,Xyon (144),Kismet (203),HG-Enlightenment (493),,,,,,,,,,,,,Wormhole (470),199,174,129,128,228,231,232,233,16,30,20,16,15,1,1,1,4,128,-1,1,0,128,227,-1,-1,-1,-1,-1,-1,5,5,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1350,15,€
sÿst,181,Canopus,Nova Data 2,-52,4,HJG-0637 (146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,130,133,134,202,228,231,233,20,16,16,16,16,14,1,1,1,-1,-1,2,0,222,224,225,-1,-1,-1,-1,-1,5,5,5,0,0,0,0,0,#000000,0,0x0300,0,,0,0,€
sÿst,182,Metter,Nova Data 2,-76,-28,HJG-0637 (146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,130,133,134,202,228,231,233,22,15,15,21,15,10,1,1,2,-1,-1,2,0,222,224,225,-1,-1,-1,-1,-1,5,5,5,0,0,0,0,0,#000000,0,0x0300,0,,0,0,€
sÿst,183,Avalon,Nova Data 2,-100,12,HJG-0637 (146),,,,,,,,,,,,,,,,Herald (204),,,,,,,,,,,,,,,,174,134,129,130,228,231,232,233,22,22,22,21,10,1,1,1,3,128,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),2430,23,€
sÿst,184,Moonrise,Nova Data 2,-64,44,HJG-1034 (145),,,,,,,,,,,,,,,,Beacon (205),Keystone (206),Moonview (207),,,,,,,,,,,,,,174,199,128,141,228,231,232,233,22,22,22,21,10,1,1,1,3,128,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0711,0,Small Federation Fleet (128),1350,15,€
sÿst,185,Tuatha,Nova Data 2,-70,75,HJG-1034 (145),,,,,,,,,,,,,,,,New Ireland (139),,,,,,,,,,,,,,,,151,128,199,139,228,231,232,233,50,12,12,12,11,1,1,1,4,144,-1,3,0,443,128,227,-1,-1,-1,-1,-1,50,5,5,0,0,0,0,0,#000000,0,0x0711,!b850,Wild Geese (144),360,1,€
sÿst,186,Nadir,Nova Data 2,-96,85,HJG-1034 (145),,,,,,,,,,,,,,,,Notas (208),,,,,,,,,,,,,,,,174,129,128,132,228,231,232,233,20,20,20,20,15,2,2,1,2,128,-1,4,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0711,0,Small Federation Fleet (128),1440,16,€
sÿst,187,Journey's End,Nova Data 2,-100,-40,Procyon (1127),Procyon (147),,,,,,,,,,,,,,,Dunroamin (209),,,,,,,,,,,,,,,,199,174,128,129,228,231,232,233,22,22,17,16,20,1,1,1,3,128,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1350,15,€
sÿst,188,Rigel,Nova Data 2,-106,0,Procyon (1127),Procyon (147),,,,,,,,,,,,,,,Neo New York (141),Rigel III (210),,,,,,,,,,,,,,,130,174,128,199,231,232,233,260,27,20,20,20,1,1,1,10,3,128,-1,5,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x1F33,0,Federation Carrier + Escorts (129),540,3,€
sÿst,189,Trishka,Nova Data 2,-140,12,Procyon (1127),Procyon (147),,,,,,,,,,,,,,,Misfire (211),,,,,,,,,,,,,,,,141,128,134,132,228,231,232,233,12,20,20,25,20,1,1,1,2,128,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,0,Small Federation Fleet (128),1170,13,€
sÿst,190,Sibko,Nova Data 2,-148,-12,Procyon (147),Procyon (1127),,,,,,,,,,,,,,,Kerensky (212),,,,,,,,,,,,,,,,199,174,130,128,228,231,232,233,15,15,35,20,12,1,1,1,3,128,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0711,0,Small Federation Fleet (128),1080,12,€
sÿst,191,Outpost 819,Nova Data 2,-48,-32,Sirius (148),,,,,,,,,,,,,,,,Gineia (213),,,,,,,,,,,,,,,,128,129,134,199,228,231,232,233,20,20,20,20,17,1,1,1,3,128,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0711,0,,0,0,€
sÿst,192,NGC-1776,Nova Data 2,-64,-64,Sirius (148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,132,133,139,202,228,231,233,16,20,16,10,16,20,1,1,2,-1,-1,3,0,222,224,225,-1,-1,-1,-1,-1,5,5,5,0,0,0,0,0,#000000,0,0x0711,0,,0,0,€
sÿst,193,Glimmer,Nova Data 2,-60,-80,Sirius (148),,,,,,,,,,,,,,,,Brass (214),,,,,,,,,,,,,,,,128,132,129,199,228,231,232,233,25,25,17,17,11,2,2,1,1,128,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,#000000,0,0x0300,!(b6300 | b6302),Federation Carrier + Escorts (129),720,8,€
